SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,50836431,0.5,467.93600000000015,3.1403000000000016,7,2,5
CC(C)c1ccc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(n3)N3CC[C@@H](O)[C@@](C)(F)C3)cc12,51485653,0.5,480.5880000000003,3.7604000000000015,8,3,5
COc1cc(ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1)C(N)=O,51381354,0.5,403.4420000000001,2.8778999999999986,6,4,7
COC[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(CO)cc1OC)c1ccccc1,51381371,0.5,404.47000000000014,3.9254000000000016,6,3,8
OCC[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccccc1)c1ccccc1,51381373,0.5,344.41800000000006,4.1605000000000025,4,3,6
COc1cc2c(cc1OCC1CCN(C)CC1)[nH]cn\c2=N/c1ccc(Br)cc1F,51493756,0.5,475.362,4.426100000000004,5,1,5
COc1cc(ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1)C(=O)NCCN(C)C,50457426,0.5,475.6180000000002,4.831400000000004,7,2,9
Brc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCOCC4)cc23)c1,50933653,0.51,456.3440000000004,3.796700000000002,6,2,6
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,5429,0.51,424.30600000000015,4.229600000000001,7,2,7
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,50210606,0.512861,424.3060000000002,4.229600000000001,7,2,7
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)COC(C)=O,51276659,0.52,432.8390000000002,4.066200000000003,7,2,7
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C(\F)=C\CN1CCOCC1,50249184,0.53,489.9100000000004,4.298600000000003,7,2,7
C[C@@H](CS)C(=O)N1CCC[C@H]1c1nnn[nH]1,50983288,0.54,241.32,0.4290999999999998,5,2,3
COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCOCCn1ccnc1[N+]([O-])=O,50258917,0.54,474.4770000000004,3.563600000000002,10,1,11
Brc1cccc(Nc2ncnc3cc(NC(=O)C=C)ncc23)c1,50056634,0.54,370.2100000000001,3.6554,5,2,4
