SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5336,0.025,354.21100000000007,4.022600000000002,5,1,2
Brc1cccc(Nc2ncnc3cc4nn[nH]c4cc23)c1,5341,4.1,341.172,3.4072000000000005,5,2,2
Brc1cccc(Nc2ncnc3cc4cn[nH]c4cc23)c1,5343,0.34,340.184,4.012200000000001,4,2,2
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,5344,0.44,340.184,4.012200000000001,4,2,2
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,5345,0.44,339.196,4.617200000000001,3,2,2
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,5346,1.24,339.1960000000001,4.617200000000001,3,2,2
Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,5347,0.003,350.21900000000005,5.289100000000002,3,1,2
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,5348,1.7,352.19500000000005,4.079100000000001,5,1,2
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5356,0.13,330.1890000000001,3.5726000000000013,5,2,3
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5357,0.091,344.216,3.5969000000000015,5,1,3
CNc1cc2ncn(C)\c(=N/c3cccc(Br)c3)c2cn1,5359,3.1,344.21600000000007,3.004900000000001,5,1,2
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5362,0.13,316.16200000000003,3.113100000000001,5,2,2
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5365,0.008,330.189,3.572600000000002,5,2,3
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5366,0.006,344.216,3.5969000000000015,5,1,3
COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5367,2.6,331.17300000000006,3.539500000000002,5,1,3
COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1,5368,2.3,436.3130000000001,5.151600000000003,6,2,6
CNc1cc2c(Nc3ccccc3)ncnc2cn1,5369,9.0,251.29300000000003,2.8101000000000003,5,2,3
